customer_id,first_name,last_name,age_group,gender,region,income_bracket,customer_segment
10058,Kristen,Ingram,26-35,Male,North,<50k,Corporate
10059,Charles,Hicks,46-60,Male,East,100-200k,Priority
10060,Scott,Brown,18-25,Male,North,<50k,Corporate
10061,Jacqueline,Brown,60+,Male,East,100-200k,Corporate
10062,Nichole,Haas,36-45,Male,East,200k+,Priority
10063,Mary,Cohen,46-60,Male,East,<50k,Retail Banking
10064,Diane,Campos,36-45,Male,South,<50k,Retail Banking
10065,Susan,Aguirre,26-35,Other,East,50-100k,Priority
10066,Lynn,Powers,60+,Other,South,50-100k,Retail Banking
10067,Theresa,Marsh,60+,Female,West,100-200k,Corporate
10068,Clinton,Curtis,26-35,Other,East,200k+,Priority
10069,Jeffrey,Reid,18-25,Male,East,<50k,Retail Banking
10070,Eric,Walsh,18-25,Other,East,50-100k,Retail Banking
10071,Mike,Shepherd,36-45,Female,South,200k+,Priority
10072,Kara,Burnett,26-35,Male,South,50-100k,Corporate
10073,Shari,Henderson,26-35,Other,East,200k+,Priority
10074,Scott,Mccoy,26-35,Female,West,<50k,Corporate
10075,James,Chavez,46-60,Female,North,100-200k,Priority
10076,Shawn,Gibson,26-35,Female,North,<50k,Retail Banking
10077,Daniel,Wang,18-25,Male,South,50-100k,Retail Banking
10078,Jeremy,Richard,60+,Female,East,50-100k,Retail Banking
10079,Alan,Lee,26-35,Male,West,200k+,Retail Banking
10080,Thomas,Morales,26-35,Other,South,50-100k,Retail Banking
10081,Evelyn,Welch,36-45,Male,North,200k+,Corporate
10082,Holly,Atkinson,46-60,Female,East,50-100k,Priority
10083,Brian,Lamb,60+,Other,South,<50k,Retail Banking
10084,James,Turner,26-35,Male,South,50-100k,Priority
10085,Dawn,Mack,36-45,Other,West,<50k,Corporate
10086,Christopher,Rowe,18-25,Male,East,200k+,Corporate
10087,Leah,Nguyen,60+,Male,West,50-100k,Retail Banking
10088,Jacob,Johnson,46-60,Other,North,50-100k,Retail Banking
10089,Ronald,Reyes,26-35,Female,North,200k+,Retail Banking
10090,Kristi,Santiago,18-25,Female,East,100-200k,Priority
10091,Tracey,Powers,36-45,Male,West,200k+,Priority
10092,Heather,Gordon,18-25,Other,North,100-200k,Priority
10093,Bonnie,Franklin,46-60,Female,South,200k+,Corporate
10094,Patrick,Smith,60+,Other,South,50-100k,Corporate
10095,Elizabeth,Jones,60+,Male,East,100-200k,Retail Banking
10096,Suzanne,Mcdaniel,26-35,Other,East,200k+,Priority
10097,Alan,Hamilton,36-45,Female,South,50-100k,Corporate
10098,Brooke,Cervantes,36-45,Male,East,100-200k,Corporate
10099,Donald,Mitchell,46-60,Male,South,<50k,Corporate
10100,Isabella,Love,26-35,Male,North,100-200k,Corporate
10101,Alexander,Anderson,26-35,Male,South,50-100k,Retail Banking
10102,Julie,Gilbert,60+,Female,West,100-200k,Retail Banking
10103,Paige,Lee,18-25,Male,East,200k+,Priority
10104,Michael,Warren,18-25,Other,West,50-100k,Corporate
10105,Melanie,Thompson,26-35,Other,North,50-100k,Corporate
10106,Kyle,Anderson,46-60,Female,West,200k+,Retail Banking
10107,Ashley,Hogan,36-45,Female,North,100-200k,Retail Banking
10108,Elizabeth,Thompson,46-60,Female,North,50-100k,Retail Banking
10109,Jonathan,Lara,18-25,Other,West,100-200k,Corporate
10110,Patrick,Thornton,60+,Male,East,200k+,Corporate
10111,Jesus,Simmons,60+,Female,North,200k+,Retail Banking
10112,Alexis,Gray,18-25,Other,South,100-200k,Retail Banking
10113,Drew,Jackson,36-45,Male,East,200k+,Priority
10114,Jaime,Estes,36-45,Other,East,200k+,Priority
10115,Aaron,Gonzales,60+,Female,North,<50k,Corporate
10116,Laura,Hart,18-25,Male,North,100-200k,Priority
10117,Brandon,Keller,46-60,Female,South,50-100k,Priority
10118,Glenn,Hayes,26-35,Other,West,100-200k,Priority
10119,Laura,Reilly,26-35,Other,West,50-100k,Corporate
10120,John,Gutierrez,60+,Other,South,200k+,Retail Banking
10121,Tommy,Lam,60+,Male,East,50-100k,Priority
10122,Anthony,Cunningham,60+,Other,East,100-200k,Corporate
10123,Anthony,Cook,60+,Female,West,50-100k,Corporate
10124,Shane,Sloan,36-45,Male,South,100-200k,Corporate
10125,Jennifer,Lewis,36-45,Female,North,100-200k,Retail Banking
10126,Patricia,Meyer,36-45,Male,East,<50k,Retail Banking
10127,Steven,Bentley,18-25,Female,East,100-200k,Retail Banking
10128,Mark,Kelley,18-25,Other,West,200k+,Retail Banking
10129,Lisa,Wilson,46-60,Other,North,50-100k,Priority
10130,John,Barajas,36-45,Male,South,<50k,Corporate
10131,William,Parker,18-25,Other,West,50-100k,Retail Banking
10132,Patricia,Waters,26-35,Female,West,200k+,Corporate
10133,Vanessa,Davis,26-35,Other,South,<50k,Priority
10134,Reginald,Good,26-35,Male,East,50-100k,Priority
10135,Courtney,Ferguson,18-25,Male,North,100-200k,Corporate
10136,Kendra,Adams,36-45,Male,West,100-200k,Corporate
10137,Brian,Atkinson,18-25,Male,West,<50k,Priority
10138,Robert,Diaz,46-60,Other,South,<50k,Priority
10139,Daniel,Watts,46-60,Female,North,100-200k,Corporate
10140,Kim,Castaneda,60+,Male,North,200k+,Retail Banking
10141,Ashley,Hudson,60+,Other,East,100-200k,Corporate
10142,Brandon,Contreras,26-35,Other,South,<50k,Priority
10143,Jenny,Chan,18-25,Other,East,50-100k,Priority
10144,David,Stuart,26-35,Male,North,<50k,Corporate
10145,Ashley,Gonzalez,26-35,Other,West,<50k,Priority
10146,Joseph,Hart,60+,Female,West,50-100k,Priority
10147,Martha,Hughes,36-45,Female,North,100-200k,Retail Banking
10148,David,Leonard,36-45,Male,East,100-200k,Retail Banking
10149,Kayla,Gentry,60+,Other,North,<50k,Priority
10150,Brandy,Dunn,26-35,Male,North,50-100k,Priority
10151,Samantha,Herrera,46-60,Female,West,100-200k,Priority
10152,Deborah,Turner,26-35,Female,East,100-200k,Corporate
10153,Kimberly,Davidson,26-35,Female,North,50-100k,Priority
10154,Kevin,Castro,18-25,Female,North,50-100k,Corporate
10155,Chad,Bennett,36-45,Other,West,50-100k,Priority
10156,Gina,Mathis,26-35,Other,South,200k+,Retail Banking
10157,Jessica,Wallace,46-60,Female,West,100-200k,Corporate
10158,Christopher,Cortez,18-25,Other,East,100-200k,Corporate
10159,Robert,Martinez,18-25,Other,West,50-100k,Priority
10160,Amy,Beck,36-45,Other,South,100-200k,Retail Banking
10161,Tabitha,Hoover,46-60,Female,East,50-100k,Retail Banking
10162,Jay,Blevins,18-25,Male,North,200k+,Priority
10163,Linda,Delacruz,60+,Female,West,<50k,Retail Banking
10164,Cheryl,Harris,26-35,Male,West,100-200k,Priority
10165,Elizabeth,Bates,46-60,Other,West,50-100k,Corporate
10166,Jennifer,Olson,26-35,Male,South,<50k,Retail Banking
10167,Steven,Oconnor,46-60,Male,South,200k+,Priority
10168,Cindy,Hicks,60+,Male,South,<50k,Retail Banking
10169,Kelly,Bullock,36-45,Male,West,100-200k,Corporate
10170,Christopher,Howard,26-35,Male,West,50-100k,Corporate
10171,Raymond,Ramirez,60+,Female,North,200k+,Retail Banking
10172,Rita,Little,60+,Female,North,100-200k,Priority
10173,Jeremy,Fry,46-60,Other,North,50-100k,Priority
10174,Harold,Wright,18-25,Female,East,100-200k,Corporate
10175,Adam,Gonzalez,60+,Other,East,<50k,Retail Banking
10176,Sean,Mayo,26-35,Female,West,<50k,Corporate
10177,Christopher,Garner,26-35,Male,West,50-100k,Priority
10178,Jacob,Gomez,60+,Male,West,<50k,Corporate
10179,Timothy,Brown,18-25,Female,East,50-100k,Retail Banking
10180,Michael,Fletcher,26-35,Other,South,50-100k,Priority
10181,Kendra,Hunter,18-25,Other,West,100-200k,Priority
10182,Mary,Sanchez,60+,Female,West,<50k,Corporate
10183,Bradley,Juarez,26-35,Other,West,<50k,Retail Banking
10184,Catherine,Horton,36-45,Male,West,50-100k,Corporate
10185,Jorge,Robertson,36-45,Other,South,<50k,Priority
10186,Christopher,Rich,18-25,Other,East,200k+,Retail Banking
10187,Brianna,Schwartz,18-25,Other,South,100-200k,Priority
10188,Michelle,Solis,36-45,Other,South,200k+,Retail Banking
10189,Gregory,Davis,36-45,Female,North,100-200k,Corporate
10190,Noah,Webster,46-60,Other,South,200k+,Corporate
10191,Meagan,Wells,36-45,Male,East,<50k,Priority
10192,Ryan,Espinoza,46-60,Male,East,50-100k,Retail Banking
10193,Melissa,Singleton,36-45,Other,West,<50k,Priority
10194,Alexander,Gentry,18-25,Female,South,100-200k,Corporate
10195,Eric,Daniels,60+,Female,West,100-200k,Corporate
10196,Michaela,Barnes,36-45,Female,West,100-200k,Retail Banking
10197,Patricia,Johnson,46-60,Other,South,<50k,Corporate
10198,David,Becker,60+,Female,South,50-100k,Retail Banking
10199,Julia,Pham,46-60,Female,North,<50k,Corporate
10200,Stephanie,Simpson,36-45,Female,West,50-100k,Retail Banking
10201,James,Brown,46-60,Other,South,50-100k,Retail Banking
10202,Nicole,Jones,26-35,Other,West,200k+,Priority
10203,Randy,Watson,26-35,Other,North,100-200k,Corporate
10204,Steven,Barton,26-35,Other,North,200k+,Corporate
10205,April,Burton,26-35,Female,West,<50k,Corporate
10206,Elizabeth,Green,46-60,Female,East,100-200k,Corporate
10207,William,Barrett,36-45,Male,West,<50k,Priority
10208,Scott,Robinson,46-60,Other,North,200k+,Corporate
10209,Kaitlyn,Barker,26-35,Other,West,<50k,Retail Banking
10210,Morgan,Wheeler,18-25,Female,North,50-100k,Retail Banking
10211,Harold,Houston,36-45,Male,East,<50k,Priority
10212,Mary,Johnson,26-35,Female,North,<50k,Priority
10213,Kevin,Robinson,60+,Other,North,<50k,Corporate
10214,David,Montes,18-25,Female,East,50-100k,Retail Banking
10215,Ryan,Bowman,60+,Female,East,200k+,Priority
10216,Kelly,Collins,60+,Other,South,200k+,Corporate
10217,Jessica,Mack,46-60,Male,North,200k+,Retail Banking
10218,David,Randolph,60+,Other,South,50-100k,Corporate
10219,Nancy,Sims,46-60,Other,South,100-200k,Retail Banking
10220,Jamie,Krause,26-35,Other,West,100-200k,Corporate
10221,Charles,Clarke,36-45,Female,West,200k+,Priority
10222,Angelica,Gallagher,18-25,Other,West,50-100k,Corporate
10223,Donald,Ellis,36-45,Female,South,200k+,Retail Banking
10224,Craig,Woodard,26-35,Female,West,50-100k,Corporate
10225,Mary,Hanna,36-45,Other,South,200k+,Corporate
10226,Ryan,Pollard,18-25,Male,West,100-200k,Retail Banking
10227,Cole,Colon,46-60,Female,West,200k+,Corporate
10228,Karen,Mays,18-25,Other,West,100-200k,Corporate
10229,Richard,Rodgers,46-60,Female,South,100-200k,Corporate
10230,Christopher,Hayes,36-45,Male,North,100-200k,Priority
10231,Chad,Leonard,60+,Male,North,200k+,Priority
10232,Christopher,Miles,18-25,Male,East,<50k,Priority
10233,Lance,Nelson,46-60,Male,South,<50k,Retail Banking
10234,Tammy,Hernandez,36-45,Female,West,200k+,Retail Banking
10235,Dean,Miranda,60+,Male,South,100-200k,Priority
10236,Jeffery,Poole,46-60,Other,East,<50k,Corporate
10237,Andrew,Shelton,26-35,Female,South,50-100k,Retail Banking
10238,Ryan,Lyons,18-25,Other,South,<50k,Retail Banking
10239,Tyler,Garcia,18-25,Male,South,<50k,Retail Banking
10240,Jonathan,Lee,46-60,Male,North,<50k,Priority
10241,Connie,Stone,26-35,Male,South,200k+,Priority
10242,Gina,Alexander,26-35,Male,South,100-200k,Priority
10243,Ashley,Townsend,60+,Other,South,200k+,Retail Banking
10244,Allen,Floyd,60+,Other,East,50-100k,Priority
10245,Kelly,Wiley,46-60,Other,West,<50k,Priority
10246,Jared,Jones,26-35,Other,West,100-200k,Priority
10247,Alexis,Harris,26-35,Female,North,50-100k,Retail Banking
10248,Brian,Potter,60+,Male,East,100-200k,Retail Banking
10249,Eileen,Reynolds,36-45,Male,South,<50k,Priority
10250,Kevin,Rivera,26-35,Male,South,200k+,Priority
10251,Jennifer,Contreras,36-45,Male,South,200k+,Priority
10252,Matthew,Morgan,46-60,Other,West,<50k,Priority
10253,Garrett,Hill,60+,Female,West,<50k,Corporate
10254,Craig,Smith,60+,Female,East,<50k,Priority
10255,Mitchell,Gibson,26-35,Female,East,200k+,Corporate
10256,Rebecca,Ray,18-25,Male,East,200k+,Retail Banking
10257,Norman,Sharp,18-25,Male,West,100-200k,Retail Banking
10258,Michelle,Knapp,46-60,Female,South,200k+,Priority
10259,Lauren,Brown,26-35,Female,West,200k+,Retail Banking
10260,Erin,Campbell,60+,Male,North,<50k,Priority
10261,Kyle,Stuart,60+,Male,South,<50k,Corporate
10262,Shawn,Walker,60+,Male,South,200k+,Retail Banking
10263,Ann,Crawford,46-60,Male,North,100-200k,Priority
10264,William,Jarvis,60+,Male,West,50-100k,Priority
10265,Monica,Beard,26-35,Male,North,100-200k,Retail Banking
10266,Heather,Griffin,36-45,Other,North,<50k,Priority
10267,Laurie,Kim,36-45,Female,North,50-100k,Priority
10268,Cynthia,Smith,46-60,Male,West,200k+,Retail Banking
10269,Evan,Henry,60+,Female,South,100-200k,Priority
10270,David,Cox,26-35,Other,North,200k+,Retail Banking
10271,Toni,Gonzalez,60+,Male,South,50-100k,Retail Banking
10272,Mary,Hendricks,36-45,Female,East,100-200k,Corporate
10273,Stephanie,Rasmussen,36-45,Other,West,200k+,Priority
10274,Jessica,Jones,26-35,Female,East,50-100k,Corporate
10275,Nicholas,Lewis,18-25,Female,East,50-100k,Corporate
10276,Angela,Hammond,26-35,Male,East,50-100k,Corporate
10277,Ashley,Underwood,60+,Male,West,50-100k,Priority
10278,Sharon,Morris,26-35,Male,East,50-100k,Priority
10279,Richard,Cummings,46-60,Other,South,<50k,Retail Banking
10280,Daniel,Manning,36-45,Female,North,<50k,Corporate
10281,Devon,Daugherty,18-25,Other,West,200k+,Retail Banking
10282,Lisa,Gonzalez,60+,Female,East,100-200k,Corporate
10283,James,Wise,18-25,Female,South,50-100k,Corporate
10284,Karen,Robinson,36-45,Female,North,<50k,Priority
10285,Robert,Orr,36-45,Female,East,<50k,Priority
10286,Danielle,Pearson,36-45,Female,North,<50k,Corporate
10287,Sharon,Oconnor,36-45,Other,South,200k+,Priority
10288,Samuel,Boone,26-35,Other,West,50-100k,Retail Banking
10289,Michael,Crawford,60+,Female,North,100-200k,Retail Banking
10290,Alexis,Bishop,18-25,Male,North,200k+,Retail Banking
10291,Jeffrey,Thornton,26-35,Other,South,200k+,Priority
10292,Caleb,Stephens,36-45,Other,North,100-200k,Priority
10293,Darren,Dixon,46-60,Female,West,<50k,Priority
10294,Jose,Carter,18-25,Female,East,50-100k,Corporate
10295,Jennifer,Cline,36-45,Male,North,50-100k,Retail Banking
10296,Miguel,Kelly,36-45,Female,South,50-100k,Retail Banking
10297,James,Todd,36-45,Other,West,<50k,Priority
10298,Thomas,Shepherd,18-25,Other,North,50-100k,Priority
10299,David,Martin,18-25,Male,West,<50k,Priority
10300,Christina,Chavez,18-25,Other,South,200k+,Corporate
10301,Mark,Barnett,36-45,Other,North,<50k,Priority
10302,Teresa,English,26-35,Other,West,100-200k,Corporate
10303,Raymond,Torres,36-45,Female,East,<50k,Priority
10304,Christopher,Jones,26-35,Female,North,200k+,Priority
10305,Summer,Cobb,26-35,Other,West,100-200k,Retail Banking
10306,Timothy,Fitzgerald,60+,Male,South,<50k,Retail Banking
10307,John,King,26-35,Female,North,200k+,Priority
10308,Rachel,Gonzales,26-35,Other,East,100-200k,Priority
10309,Hannah,Phillips,46-60,Male,West,200k+,Retail Banking
10310,Andrew,Ramirez,60+,Other,East,200k+,Corporate
10311,Eric,Mckee,36-45,Male,West,200k+,Corporate
10312,Maria,King,46-60,Female,West,50-100k,Priority
10313,Jessica,Michael,18-25,Other,North,<50k,Priority
10314,Denise,Watson,60+,Male,East,50-100k,Corporate
10315,Brett,Dean,60+,Female,South,100-200k,Retail Banking
10316,George,Sanders,26-35,Female,South,100-200k,Retail Banking
10317,Samantha,Mejia,46-60,Other,West,50-100k,Retail Banking
10318,Scott,Lopez,60+,Other,South,<50k,Retail Banking
10319,David,Smith,36-45,Male,South,100-200k,Corporate
10320,Michelle,Macias,26-35,Other,West,200k+,Retail Banking
10321,Manuel,Bates,46-60,Male,North,<50k,Retail Banking
10322,Yvette,Schmidt,36-45,Other,South,100-200k,Priority
10323,Brett,Perry,46-60,Female,South,200k+,Retail Banking
10324,Logan,Cervantes,46-60,Other,South,200k+,Retail Banking
10325,George,Ward,26-35,Male,South,200k+,Corporate
10326,Lisa,Dunn,46-60,Other,East,50-100k,Retail Banking
10327,Douglas,Curry,46-60,Female,West,100-200k,Retail Banking
10328,Tamara,Richard,36-45,Female,North,100-200k,Corporate
10329,Tracy,Ellis,26-35,Other,West,<50k,Priority
10330,Jon,Farrell,26-35,Male,East,<50k,Corporate
10331,Jonathan,Murphy,60+,Male,East,100-200k,Corporate
10332,Lisa,Ochoa,18-25,Other,South,<50k,Priority
10333,Erin,Tran,36-45,Female,North,200k+,Corporate
10334,Deborah,Burns,36-45,Other,South,50-100k,Priority
10335,Zachary,Bennett,26-35,Female,East,200k+,Corporate
10336,Deanna,Ward,46-60,Female,South,100-200k,Priority
10337,Todd,Robinson,46-60,Other,West,50-100k,Retail Banking
10338,Larry,Smith,26-35,Female,East,50-100k,Retail Banking
10339,Joshua,Wiley,60+,Female,South,<50k,Corporate
10340,Keith,Davis,36-45,Female,East,50-100k,Retail Banking
10341,Joanne,Nelson,46-60,Other,East,200k+,Retail Banking
10342,Michael,Macdonald,18-25,Other,West,<50k,Priority
10343,Sarah,Perez,46-60,Female,East,200k+,Priority
10344,Billy,Morris,18-25,Other,North,200k+,Corporate
10345,Mikayla,Arnold,26-35,Male,West,<50k,Corporate
10346,George,Boyd,60+,Other,West,100-200k,Priority
10347,Jerry,Snyder,18-25,Other,South,100-200k,Priority
10348,Richard,Johnson,18-25,Other,West,<50k,Retail Banking
10349,Robert,Goodwin,36-45,Other,West,200k+,Corporate
10350,Ashley,Mullen,26-35,Male,South,<50k,Priority
10351,Barbara,Cobb,26-35,Male,West,200k+,Priority
10352,Robin,Davis,60+,Other,North,<50k,Corporate
10353,Duane,Campbell,46-60,Male,East,200k+,Priority
10354,Theresa,Ford,36-45,Male,South,50-100k,Corporate
10355,Brian,Aguirre,18-25,Male,South,100-200k,Priority
10356,Michelle,Miller,26-35,Male,North,50-100k,Priority
10357,Jennifer,Bruce,26-35,Male,West,50-100k,Corporate
10358,Ashley,Williams,36-45,Female,South,50-100k,Corporate
10359,Sierra,Campos,36-45,Male,North,<50k,Retail Banking
10360,Tamara,Miller,60+,Other,North,100-200k,Corporate
10361,Laura,Aguilar,36-45,Female,North,100-200k,Priority
10362,Rebekah,Larson,60+,Male,South,<50k,Priority
10363,Adam,Washington,46-60,Female,East,200k+,Retail Banking
10364,Joshua,Hill,46-60,Female,West,200k+,Corporate
10365,Jennifer,Martin,36-45,Other,West,<50k,Retail Banking
10366,Dustin,Wood,60+,Female,East,200k+,Priority
10367,Jennifer,Alvarez,36-45,Female,East,<50k,Corporate
10368,Luke,Sandoval,18-25,Female,South,100-200k,Retail Banking
10369,Sarah,King,60+,Other,West,50-100k,Priority
10370,Brenda,Hamilton,60+,Male,West,100-200k,Retail Banking
10371,Jason,Cooper,46-60,Other,West,100-200k,Priority
10372,Karl,Moss,18-25,Female,North,<50k,Priority
10373,Stephanie,Salazar,18-25,Other,South,50-100k,Priority
10374,Anthony,Reynolds,26-35,Male,North,100-200k,Corporate
10375,Jennifer,Cook,26-35,Male,North,<50k,Corporate
10376,Dana,Miller,46-60,Female,North,50-100k,Retail Banking
10377,Kim,Oliver,36-45,Female,South,<50k,Retail Banking
10378,Robert,Reeves,18-25,Other,West,100-200k,Priority
10379,Samantha,Gonzalez,36-45,Male,South,<50k,Corporate
10380,Ashley,Robinson,18-25,Other,East,100-200k,Corporate
10381,Joshua,Summers,60+,Other,West,<50k,Priority
10382,Kelly,Campbell,46-60,Female,South,100-200k,Retail Banking
10383,Joshua,Gomez,26-35,Male,South,200k+,Retail Banking
10384,Rachel,Massey,18-25,Other,East,100-200k,Retail Banking
10385,Jill,Brown,26-35,Other,West,200k+,Priority
10386,Thomas,Rodriguez,36-45,Female,North,50-100k,Corporate
10387,Destiny,Murphy,36-45,Male,East,50-100k,Priority
10388,Roy,Sharp,46-60,Female,West,100-200k,Priority
10389,Emily,Gregory,18-25,Female,North,50-100k,Priority
10390,Renee,Rivas,26-35,Other,West,50-100k,Corporate
10391,Roy,Kelly,60+,Male,East,200k+,Corporate
10392,Laura,Shaw,18-25,Female,South,100-200k,Retail Banking
10393,Holly,Cordova,46-60,Male,South,200k+,Priority
10394,Terri,Larson,18-25,Male,North,50-100k,Priority
10395,Regina,Baxter,46-60,Other,East,50-100k,Priority
10396,John,Long,26-35,Female,East,50-100k,Corporate
10397,Micheal,Garner,46-60,Female,South,100-200k,Retail Banking
10398,Edward,Klein,26-35,Female,West,200k+,Corporate
10399,Mark,Parsons,36-45,Male,West,200k+,Retail Banking
10400,Ronald,Walton,18-25,Other,South,100-200k,Retail Banking
10401,Barbara,Payne,26-35,Other,West,100-200k,Retail Banking
10402,Daniel,Turner,60+,Female,East,200k+,Priority
10403,Erica,King,18-25,Female,West,200k+,Retail Banking
10404,Angela,Crawford,46-60,Other,North,100-200k,Priority
10405,Robert,Burton,46-60,Other,South,200k+,Retail Banking
10406,Shawn,Smith,18-25,Other,North,200k+,Corporate
10407,Robert,Rogers,46-60,Male,North,<50k,Corporate
10408,James,Davis,26-35,Female,East,<50k,Corporate
10409,Tammy,Davis,36-45,Male,East,100-200k,Corporate
10410,Angela,Weaver,18-25,Male,North,50-100k,Retail Banking
10411,Paul,Jones,18-25,Male,North,<50k,Priority
10412,Yvonne,Olson,36-45,Female,North,50-100k,Retail Banking
10413,Sandra,Freeman,18-25,Other,North,50-100k,Corporate
10414,Belinda,Smith,26-35,Other,East,50-100k,Retail Banking
10415,Adam,Hayes,46-60,Female,North,50-100k,Corporate
10416,Lisa,Palmer,26-35,Male,East,100-200k,Retail Banking
10417,Amy,Burgess,26-35,Female,East,100-200k,Corporate
10418,Andrew,Williams,60+,Male,East,100-200k,Priority
10419,Aaron,Vincent,18-25,Female,North,<50k,Priority
10420,Joseph,Weber,46-60,Male,East,<50k,Corporate
10421,Donald,Roberson,26-35,Female,West,100-200k,Priority
10422,Shawn,Graham,36-45,Other,North,100-200k,Retail Banking
10423,Janice,West,36-45,Male,West,<50k,Retail Banking
10424,Savannah,Edwards,60+,Other,North,100-200k,Priority
10425,Kevin,Lopez,46-60,Other,East,<50k,Corporate
10426,Wendy,Rogers,26-35,Male,West,200k+,Priority
10427,Kelsey,Black,46-60,Male,West,50-100k,Retail Banking
10428,Amber,Robinson,46-60,Other,West,<50k,Priority
10429,Michael,Norris,36-45,Male,South,100-200k,Retail Banking
10430,Daniel,Andrews,46-60,Male,East,100-200k,Corporate
10431,Haley,Potter,46-60,Male,North,50-100k,Priority
10432,Timothy,Keith,60+,Male,West,<50k,Corporate
10433,Jessica,Olsen,36-45,Other,South,200k+,Retail Banking
10434,Michael,Morris,60+,Female,South,<50k,Retail Banking
10435,Phillip,Webb,26-35,Female,South,<50k,Priority
10436,Christopher,Noble,18-25,Other,West,50-100k,Corporate
10437,Laura,Williams,46-60,Female,West,<50k,Corporate
10438,Andrew,Fox,60+,Male,South,100-200k,Corporate
10439,Kayla,Taylor,36-45,Male,South,200k+,Priority
10440,Richard,Harrison,26-35,Female,West,100-200k,Priority
10441,Justin,Schwartz,46-60,Male,South,50-100k,Retail Banking
10442,Paul,Flores,36-45,Male,East,<50k,Retail Banking
10443,Anna,James,26-35,Female,East,<50k,Retail Banking
10444,Christopher,Ramsey,26-35,Female,North,200k+,Corporate
10445,David,Patterson,46-60,Male,North,<50k,Corporate
10446,Lauren,Terry,26-35,Other,West,200k+,Retail Banking
10447,Victoria,Turner,60+,Male,East,200k+,Retail Banking
10448,Bruce,Ramos,18-25,Other,South,100-200k,Priority
10449,Sara,Moreno,26-35,Other,East,100-200k,Retail Banking
10450,Mary,Adams,46-60,Male,West,50-100k,Retail Banking
